,uid,reg_date,device,gender,country,age,Flag
362,28714986.0,2017-04-15T00:00:00Z,and,F,BRA,24,Control
363,91697354.0,2017-09-27T00:00:00Z,and,F,USA,24,Control
364,72175678.0,2017-10-24T00:00:00Z,iOS,M,USA,16,Control
366,40439397.0,2017-11-30T00:00:00Z,iOS,F,USA,26,Control
369,57427158.0,2017-12-15T00:00:00Z,and,F,USA,21,Control
374,40116023.0,2017-11-26T00:00:00Z,and,F,BRA,18,Control
376,52460347.0,2017-10-04T00:00:00Z,iOS,F,USA,18,Control
378,37044247.0,2017-06-21T00:00:00Z,and,M,USA,15,Control
381,39086115.0,2017-03-03T00:00:00Z,iOS,M,TUR,19,Control
382,36261477.0,2018-03-09T00:00:00Z,and,M,USA,23,Control
383,68916176.0,2017-02-23T00:00:00Z,and,F,BRA,20,Control
384,36029568.0,2017-09-24T00:00:00Z,and,F,CAN,37,Control
389,49275721.0,2018-03-12T00:00:00Z,iOS,F,USA,29,Control
390,25473152.0,2017-09-28T00:00:00Z,and,M,TUR,37,Control
393,92074827.0,2018-02-20T00:00:00Z,and,M,TUR,17,Control
394,21201773.0,2018-03-11T00:00:00Z,and,F,USA,32,Control
396,54419979.0,2018-03-11T00:00:00Z,iOS,F,DEU,20,Control
397,79773920.0,2017-10-07T00:00:00Z,iOS,F,USA,24,Control
399,88849531.0,2017-05-22T00:00:00Z,and,F,DEU,35,Control
400,70745546.0,2016-08-06T00:00:00Z,iOS,F,DEU,23,Control
403,38348062.0,2018-02-05T00:00:00Z,iOS,F,USA,28,Control
406,25277307.0,2017-11-17T00:00:00Z,and,F,USA,26,Control
409,20913404.0,2017-11-20T00:00:00Z,and,M,TUR,25,Control
411,38509633.0,2017-07-19T00:00:00Z,and,F,BRA,29,Control
413,29729462.0,2017-07-10T00:00:00Z,and,M,BRA,16,Control
415,82621264.0,2017-03-11T00:00:00Z,and,M,TUR,22,Control
418,31251547.0,2016-12-21T00:00:00Z,iOS,M,USA,53,Control
421,11756777.0,2017-05-12T00:00:00Z,iOS,M,USA,18,Control
422,48151007.0,2017-04-30T00:00:00Z,and,F,USA,15,Control
425,75448559.0,2017-10-15T00:00:00Z,and,M,CAN,21,Control
430,62460648.0,2017-08-03T00:00:00Z,iOS,M,FRA,15,Control
431,79382095.0,2018-01-27T00:00:00Z,and,F,USA,17,Control
432,90922648.0,2017-12-04T00:00:00Z,and,M,USA,39,Control
433,11274144.0,2017-04-01T00:00:00Z,and,M,CAN,19,Control
438,92892805.0,2017-07-27T00:00:00Z,and,M,BRA,15,Control
441,46565142.0,2016-11-26T00:00:00Z,iOS,F,USA,17,Control
443,99265353.0,2016-06-04T00:00:00Z,iOS,F,BRA,26,Control
444,59072594.0,2017-10-26T00:00:00Z,iOS,F,USA,25,Control
448,70901385.0,2017-11-15T00:00:00Z,iOS,M,USA,29,Control
449,30871934.0,2017-03-31T00:00:00Z,and,F,DEU,34,Control
450,25107539.0,2015-10-12T00:00:00Z,iOS,M,USA,16,Control
452,45935274.0,2017-02-06T00:00:00Z,and,M,USA,51,Control
453,73471600.0,2018-03-15T00:00:00Z,and,F,USA,25,Control
454,44953303.0,2017-11-06T00:00:00Z,iOS,M,TUR,15,Control
455,24373914.0,2017-01-27T00:00:00Z,and,M,USA,32,Control
456,46075649.0,2017-09-08T00:00:00Z,and,F,TUR,16,Control
457,71160014.0,2016-12-27T00:00:00Z,iOS,F,USA,25,Control
458,35783429.0,2018-02-08T00:00:00Z,and,M,USA,17,Control
465,34830224.0,2017-11-20T00:00:00Z,and,F,DEU,26,Control
469,41644485.0,2017-09-14T00:00:00Z,and,M,USA,21,Control
473,89192357.0,2017-01-07T00:00:00Z,iOS,F,DEU,15,Control
475,28376091.0,2018-01-24T00:00:00Z,iOS,F,BRA,17,Control
476,92286561.0,2017-11-14T00:00:00Z,iOS,F,BRA,16,Control
478,12642737.0,2018-02-15T00:00:00Z,iOS,M,USA,20,Control
479,28239011.0,2017-06-11T00:00:00Z,and,M,BRA,42,Control
480,25417197.0,2017-09-13T00:00:00Z,and,M,CAN,20,Control
481,36405215.0,2017-08-23T00:00:00Z,and,F,DEU,25,Control
482,64466999.0,2018-02-07T00:00:00Z,and,F,USA,15,Control
484,67158480.0,2017-05-18T00:00:00Z,iOS,F,USA,25,Control
488,69237628.0,2016-05-30T00:00:00Z,iOS,F,FRA,16,Control
489,14283395.0,2015-09-03T00:00:00Z,and,M,DEU,29,Control
490,42233261.0,2017-06-24T00:00:00Z,and,F,DEU,61,Control
491,89444899.0,2018-03-14T00:00:00Z,and,F,USA,26,Control
492,73660053.0,2017-09-01T00:00:00Z,iOS,F,CAN,19,Control
494,93326059.0,2016-12-04T00:00:00Z,and,M,USA,41,Control
496,71241847.0,2015-10-29T00:00:00Z,iOS,F,DEU,15,Control
497,83267844.0,2016-03-14T00:00:00Z,and,F,USA,18,Control
501,83529959.0,2018-01-26T00:00:00Z,and,M,USA,19,Control
505,72557992.0,2016-05-07T00:00:00Z,and,M,TUR,49,Control
506,83957693.0,2018-01-04T00:00:00Z,and,F,TUR,30,Control
507,66527522.0,2017-10-10T00:00:00Z,and,F,BRA,19,Control
508,99221148.0,2017-09-03T00:00:00Z,and,F,USA,18,Control
511,77910519.0,2017-07-21T00:00:00Z,and,F,BRA,29,Control
512,86985042.0,2017-05-02T00:00:00Z,and,M,USA,34,Control
514,90181049.0,2018-03-02T00:00:00Z,and,F,USA,22,Control
515,63742217.0,2018-01-16T00:00:00Z,iOS,F,FRA,17,Control
517,24140526.0,2017-06-08T00:00:00Z,and,F,USA,18,Control
518,31379921.0,2016-10-08T00:00:00Z,iOS,F,USA,34,Control
520,31300075.0,2016-11-25T00:00:00Z,and,M,BRA,29,Control
522,15108185.0,2017-06-05T00:00:00Z,iOS,M,DEU,28,Control
525,62097636.0,2018-03-08T00:00:00Z,and,F,CAN,23,Control
530,30580782.0,2016-10-15T00:00:00Z,and,F,BRA,26,Control
532,29689616.0,2018-02-02T00:00:00Z,and,M,DEU,18,Control
533,13516426.0,2017-10-03T00:00:00Z,iOS,F,TUR,19,Control
536,99382112.0,2018-02-09T00:00:00Z,and,F,BRA,25,Control
537,72833980.0,2018-03-11T00:00:00Z,and,F,BRA,15,Control
547,79595704.0,2017-12-24T00:00:00Z,iOS,M,USA,18,Control
550,13005494.0,2015-09-21T00:00:00Z,iOS,M,CAN,22,Control
552,74106810.0,2018-02-17T00:00:00Z,iOS,M,TUR,26,Control
553,81366794.0,2016-08-22T00:00:00Z,and,F,USA,39,Control
562,54244351.0,2017-12-09T00:00:00Z,iOS,F,BRA,17,Control
563,28191749.0,2018-01-28T00:00:00Z,and,M,DEU,28,Control
564,25586861.0,2017-03-20T00:00:00Z,iOS,F,BRA,15,Control
565,93838937.0,2017-10-21T00:00:00Z,iOS,M,USA,17,Control
568,92270423.0,2018-01-25T00:00:00Z,and,M,USA,42,Control
570,82291374.0,2018-03-10T00:00:00Z,iOS,M,DEU,27,Control
575,73538625.0,2018-02-26T00:00:00Z,iOS,F,CAN,17,Control
576,56637414.0,2016-06-19T00:00:00Z,and,M,USA,15,Control
577,29550215.0,2017-08-06T00:00:00Z,and,M,DEU,20,Control
580,44958087.0,2018-02-09T00:00:00Z,iOS,M,FRA,22,Control
582,68897421.0,2017-01-12T00:00:00Z,and,M,BRA,38,Control
587,37353609.0,2017-06-05T00:00:00Z,and,M,USA,33,Control
589,26598444.0,2016-07-10T00:00:00Z,iOS,F,USA,16,Control
594,90548236.0,2016-08-04T00:00:00Z,iOS,M,USA,28,Control
595,12512467.0,2016-10-23T00:00:00Z,iOS,M,BRA,34,Control
596,16484174.0,2016-08-23T00:00:00Z,and,F,USA,19,Control
597,94667497.0,2017-09-29T00:00:00Z,and,F,TUR,19,Control
601,96504427.0,2017-09-09T00:00:00Z,iOS,F,TUR,15,Control
604,71827348.0,2018-02-06T00:00:00Z,iOS,F,USA,37,Control
605,51734557.0,2017-02-24T00:00:00Z,and,M,CAN,26,Control
609,46539892.0,2017-09-02T00:00:00Z,and,F,TUR,48,Control
611,19755648.0,2016-06-30T00:00:00Z,iOS,F,TUR,26,Control
616,63362348.0,2017-10-15T00:00:00Z,iOS,F,FRA,21,Control
617,67301960.0,2018-01-09T00:00:00Z,and,F,TUR,28,Control
619,63235804.0,2017-07-19T00:00:00Z,and,M,USA,18,Control
620,52628676.0,2017-05-07T00:00:00Z,iOS,M,USA,19,Control
622,93416654.0,2016-06-12T00:00:00Z,iOS,M,USA,26,Control
623,98504259.0,2017-08-14T00:00:00Z,and,M,TUR,29,Control
624,89811263.0,2017-11-13T00:00:00Z,iOS,F,FRA,17,Control
625,39791830.0,2017-11-26T00:00:00Z,iOS,F,USA,20,Control
628,17821618.0,2015-09-02T00:00:00Z,and,F,USA,17,Control
633,90117105.0,2016-08-18T00:00:00Z,iOS,F,BRA,16,Control
634,56037180.0,2018-02-17T00:00:00Z,and,M,USA,16,Control
635,98362223.0,2017-01-09T00:00:00Z,and,F,BRA,38,Control
636,81220650.0,2017-11-23T00:00:00Z,iOS,M,USA,19,Control
637,80221359.0,2017-04-29T00:00:00Z,and,M,BRA,17,Control
639,35512653.0,2018-01-18T00:00:00Z,and,M,USA,20,Control
640,33941435.0,2018-02-12T00:00:00Z,and,F,USA,28,Control
643,63450126.0,2017-03-30T00:00:00Z,and,M,USA,19,Control
647,48694786.0,2016-05-08T00:00:00Z,and,M,USA,26,Control
649,52172947.0,2017-07-20T00:00:00Z,iOS,M,BRA,16,Control
651,95322946.0,2017-10-18T00:00:00Z,and,F,BRA,32,Control
655,41662516.0,2017-07-13T00:00:00Z,and,F,DEU,16,Control
656,65707304.0,2016-10-19T00:00:00Z,and,M,USA,33,Control
658,71086516.0,2018-01-26T00:00:00Z,and,F,USA,34,Control
664,33102286.0,2018-03-11T00:00:00Z,and,F,USA,23,Control
666,31544080.0,2018-02-26T00:00:00Z,and,F,DEU,41,Control
670,55863976.0,2018-01-02T00:00:00Z,iOS,F,BRA,16,Control
675,67671531.0,2018-03-07T00:00:00Z,and,F,BRA,44,Control
684,72870902.0,2017-03-09T00:00:00Z,iOS,F,USA,17,Control
685,75818161.0,2017-08-27T00:00:00Z,iOS,F,USA,16,Control
692,49054854.0,2017-02-26T00:00:00Z,iOS,M,USA,63,Control
696,94863986.0,2018-03-12T00:00:00Z,iOS,M,USA,23,Control
699,22129601.0,2018-02-09T00:00:00Z,and,M,USA,15,Control
700,20917545.0,2016-06-20T00:00:00Z,iOS,M,BRA,15,Control
702,16670006.0,2015-10-29T00:00:00Z,iOS,F,TUR,17,Control
709,17629556.0,2016-11-30T00:00:00Z,iOS,M,FRA,18,Control
713,58056536.0,2017-03-28T00:00:00Z,and,F,USA,25,Control
716,23706966.0,2017-02-21T00:00:00Z,and,F,USA,27,Control
718,83292111.0,2017-04-02T00:00:00Z,and,F,USA,17,Control
721,80362889.0,2018-03-11T00:00:00Z,iOS,F,USA,28,Control
722,75945830.0,2017-04-10T00:00:00Z,and,M,USA,21,Control
726,96467894.0,2016-05-21T00:00:00Z,and,M,USA,23,Control
732,16927983.0,2017-04-05T00:00:00Z,and,M,TUR,18,Control
734,21344048.0,2017-09-14T00:00:00Z,iOS,F,USA,20,Control
735,16256505.0,2017-04-25T00:00:00Z,iOS,F,USA,16,Control
736,98376029.0,2017-07-18T00:00:00Z,iOS,M,USA,23,Control
738,64796589.0,2017-04-29T00:00:00Z,and,F,FRA,17,Control
741,64856928.0,2017-05-23T00:00:00Z,and,F,BRA,73,Control
744,77446612.0,2016-07-26T00:00:00Z,and,F,BRA,15,Control
745,20005312.0,2017-12-24T00:00:00Z,iOS,F,USA,18,Control
749,34822981.0,2017-01-23T00:00:00Z,iOS,F,USA,16,Control
753,39298634.0,2017-01-26T00:00:00Z,iOS,M,CAN,18,Control
754,54766847.0,2017-08-29T00:00:00Z,iOS,F,BRA,15,Control
756,15955882.0,2018-02-11T00:00:00Z,and,F,TUR,18,Control
757,38805006.0,2017-12-31T00:00:00Z,and,M,BRA,19,Control
762,85433170.0,2017-09-30T00:00:00Z,and,F,USA,19,Control
766,75539773.0,2017-09-04T00:00:00Z,and,F,DEU,23,Control
768,77397570.0,2016-11-11T00:00:00Z,and,F,DEU,56,Control
773,38602752.0,2018-01-11T00:00:00Z,and,M,USA,15,Control
774,38499400.0,2017-03-12T00:00:00Z,iOS,M,CAN,68,Control
779,40677015.0,2018-03-17T00:00:00Z,and,F,TUR,23,Control
784,47973397.0,2016-09-28T00:00:00Z,and,F,BRA,23,Control
786,66535228.0,2016-07-31T00:00:00Z,and,M,BRA,26,Control
787,87580259.0,2017-11-05T00:00:00Z,and,M,BRA,32,Control
789,97573673.0,2017-09-26T00:00:00Z,iOS,F,DEU,37,Control
792,76626323.0,2018-02-03T00:00:00Z,and,M,CAN,20,Control
794,94818856.0,2017-09-24T00:00:00Z,iOS,M,USA,23,Control
796,74610340.0,2018-01-12T00:00:00Z,iOS,M,USA,44,Control
799,55753702.0,2017-10-28T00:00:00Z,and,F,BRA,23,Control
805,56342557.0,2018-02-21T00:00:00Z,and,F,USA,16,Control
806,11699913.0,2017-04-09T00:00:00Z,iOS,F,USA,20,Control
810,84861678.0,2017-01-05T00:00:00Z,and,F,USA,40,Control
814,21052776.0,2018-01-24T00:00:00Z,iOS,M,USA,43,Control
819,90029616.0,2017-12-21T00:00:00Z,iOS,F,TUR,19,Control
820,83797593.0,2017-07-11T00:00:00Z,and,F,BRA,32,Control
824,27807004.0,2017-08-21T00:00:00Z,iOS,M,USA,18,Control
827,65139001.0,2018-01-12T00:00:00Z,iOS,F,BRA,21,Control
829,69631920.0,2017-11-01T00:00:00Z,iOS,F,TUR,16,Control
830,24411754.0,2017-07-07T00:00:00Z,iOS,M,BRA,16,Control
833,80477977.0,2017-10-10T00:00:00Z,iOS,M,CAN,30,Control
835,23258926.0,2016-06-13T00:00:00Z,and,F,USA,21,Control
837,36362832.0,2018-02-27T00:00:00Z,iOS,M,USA,18,Control
840,56625013.0,2018-03-13T00:00:00Z,iOS,F,USA,28,Control
843,45202441.0,2017-07-02T00:00:00Z,and,F,USA,24,Control
846,28794739.0,2016-11-21T00:00:00Z,iOS,F,USA,31,Control
852,70581417.0,2017-09-27T00:00:00Z,iOS,M,USA,18,Control
854,32661116.0,2018-02-20T00:00:00Z,and,M,BRA,24,Control
855,11490216.0,2017-06-21T00:00:00Z,and,F,BRA,24,Control
857,57963087.0,2017-12-05T00:00:00Z,and,M,FRA,35,Control
860,89009451.0,2018-03-02T00:00:00Z,iOS,F,FRA,19,Control
863,98836556.0,2017-09-13T00:00:00Z,iOS,M,BRA,21,Control
864,45629071.0,2016-12-10T00:00:00Z,iOS,F,USA,22,Control
865,53185599.0,2017-04-27T00:00:00Z,and,F,USA,15,Control
870,31127062.0,2017-08-12T00:00:00Z,iOS,M,DEU,25,Control
874,32074290.0,2018-02-05T00:00:00Z,iOS,F,USA,20,Control
877,73999973.0,2015-07-16T00:00:00Z,and,F,USA,19,Control
878,19805099.0,2018-01-27T00:00:00Z,iOS,F,USA,29,Control
881,82850173.0,2017-07-16T00:00:00Z,and,F,BRA,27,Control
886,42291037.0,2016-12-31T00:00:00Z,and,M,BRA,18,Control
887,25613748.0,2018-01-09T00:00:00Z,and,M,USA,21,Control
889,92115496.0,2017-09-15T00:00:00Z,and,F,USA,20,Control
893,72196860.0,2016-11-21T00:00:00Z,iOS,F,BRA,20,Control
894,14239850.0,2017-11-11T00:00:00Z,and,F,BRA,21,Control
895,46946945.0,2016-04-04T00:00:00Z,and,M,BRA,21,Control
896,73180444.0,2017-12-21T00:00:00Z,iOS,F,TUR,20,Control
899,53945899.0,2017-10-07T00:00:00Z,iOS,M,BRA,20,Control
900,69395042.0,2017-12-06T00:00:00Z,iOS,M,TUR,27,Control
902,97875501.0,2017-06-12T00:00:00Z,iOS,M,USA,15,Control
904,13667915.0,2016-01-28T00:00:00Z,and,F,TUR,15,Control
906,31703966.0,2017-09-10T00:00:00Z,and,M,TUR,17,Control
907,50146694.0,2015-04-04T00:00:00Z,iOS,F,USA,30,Control
911,77926520.0,2016-01-01T00:00:00Z,iOS,M,BRA,25,Control
912,12613544.0,2016-08-10T00:00:00Z,iOS,M,BRA,27,Control
917,91946139.0,2017-02-20T00:00:00Z,iOS,M,USA,25,Control
920,93566417.0,2017-10-04T00:00:00Z,and,F,TUR,39,Control
924,30627434.0,2018-03-01T00:00:00Z,and,F,CAN,20,Control
929,77186347.0,2017-12-18T00:00:00Z,and,F,FRA,21,Control
930,81415956.0,2017-04-24T00:00:00Z,and,F,USA,16,Control
931,67512052.0,2016-06-26T00:00:00Z,and,M,TUR,27,Control
933,71367091.0,2016-09-07T00:00:00Z,and,F,BRA,20,Control
941,95636865.0,2017-10-01T00:00:00Z,and,M,FRA,35,Control
942,99165952.0,2017-03-28T00:00:00Z,iOS,M,USA,17,Control
944,37448180.0,2018-02-03T00:00:00Z,and,M,USA,18,Control
946,53120802.0,2018-03-04T00:00:00Z,and,F,USA,37,Control
947,69359991.0,2016-07-05T00:00:00Z,and,F,DEU,28,Control
948,98670930.0,2017-10-27T00:00:00Z,and,F,BRA,32,Control
949,41898618.0,2018-02-20T00:00:00Z,and,M,CAN,25,Control
950,42358049.0,2017-07-26T00:00:00Z,and,F,TUR,15,Control
